,StockCode,total_quantity,total_revenue,avg_price,num_customers,num_invoices,num_countries,cluster,cluster_label
1085,21793,331,1513.0900000000001,4.999148936170213,81,93,2,4,High-end Niche Product
1086,21794,657,3147.87,5.299144736842106,123,152,2,4,High-end Niche Product
1087,21795,136,1002.72,7.491578947368422,64,76,2,4,High-end Niche Product
1088,21796,121,890.22,7.49030303030303,57,66,2,4,High-end Niche Product
1089,21801,1410,592.2,0.41999999999999993,69,80,4,1,Low-demand Product
1090,21802,1806,758.52,0.42000000000000004,89,99,6,1,Low-demand Product
1091,21803,1832,769.4399999999999,0.42,86,101,4,1,Low-demand Product
1092,21804,543,2025.45,3.7402702702702704,92,106,2,1,Low-demand Product
1093,21805,1458,609.12,0.41857142857142854,77,82,3,1,Low-demand Product
1094,21806,1852,776.22,0.4194444444444444,95,104,3,1,Low-demand Product
1095,21807,2190,918.18,0.4195652173913043,114,132,4,1,Low-demand Product
1096,21808,702,1885.0,3.3796296296296298,70,79,5,1,Low-demand Product
1097,21809,1755,1459.6200000000001,0.9520915032679738,118,148,6,1,Low-demand Product
1098,21810,3596,2290.9,0.7628015564202334,171,241,6,2,Potential Product
1099,21811,3639,2761.88,0.8956293706293705,199,270,7,2,Potential Product
1100,21812,594,2900.4,4.9332,103,124,8,4,High-end Niche Product
1101,21813,469,2281.65,4.926404494382022,76,87,5,4,High-end Niche Product
1102,21814,639,924.15,1.4473333333333334,59,71,4,1,Low-demand Product
1103,21815,612,884.9999999999999,1.446923076923077,58,64,5,1,Low-demand Product
1104,21816,405,587.25,1.45,34,41,4,1,Low-demand Product
1105,21817,1434,927.72,0.693015873015873,102,121,3,1,Low-demand Product
1106,21818,3105,1917.12,0.6587762237762238,197,261,4,2,Potential Product
1107,21819,2795,1709.57,0.6609999999999999,178,231,6,1,Low-demand Product
1108,21820,686,2541.65,3.763840579710145,112,134,4,1,Low-demand Product
1109,21821,618,2296.98,3.740091743119266,86,107,4,1,Low-demand Product
1110,21822,805,1049.65,1.3844554455445546,73,97,2,1,Low-demand Product
1111,21823,2004,2017.4199999999998,1.1527932960893854,136,166,3,1,Low-demand Product
1112,21824,2088,1774.58,1.0639285714285716,137,159,5,1,Low-demand Product
1113,21825,653,941.4499999999999,1.4472222222222222,62,67,4,1,Low-demand Product
1114,21826,1403,1744.06,1.2471065989847716,136,188,5,1,Low-demand Product
1115,21827,696,865.44,1.24703125,89,119,4,1,Low-demand Product
1116,21828,823,1019.06,1.2461744966442954,107,146,5,1,Low-demand Product
1117,21829,7965,1670.16,0.2105960264900662,211,300,12,2,Potential Product
1118,21830,5452,2285.59,0.42616740088105726,151,225,4,2,Potential Product
1119,21832,2351,3874.4299999999994,1.6823076923076923,204,281,13,2,Potential Product
1120,21833,4314,7247.58,1.6845562130177514,210,337,8,2,Potential Product
1121,21836,225,843.75,3.75,77,80,5,1,Low-demand Product
1122,21837,216,1285.2,5.95,61,70,4,4,High-end Niche Product
1123,21838,1,5.45,5.45,1,1,1,4,High-end Niche Product
1124,21839,189,1013.5500000000001,5.431481481481481,71,81,2,4,High-end Niche Product
1125,21841,417,1747.25,4.23,106,123,7,4,High-end Niche Product
1126,21842,338,814.65,2.5026315789473683,32,38,4,1,Low-demand Product
1127,21843,4726,35237.76,7.488587041373926,599,1280,17,0,Mid-range Popular Product
1128,21844,3878,10955.300000000001,2.90188679245283,252,422,13,2,Potential Product
1129,21845,1831,2632.3300000000004,1.8861111111111113,104,144,5,1,Low-demand Product
1130,21846,707,1570.8500000000001,4.188068181818182,51,87,5,4,High-end Niche Product
1131,21847,159,331.95,4.145652173913044,20,22,2,4,High-end Niche Product
1132,21849,391,933.3000000000001,4.313114754098361,46,59,2,4,High-end Niche Product
1133,21850,267,581.25,4.245348837209303,29,43,2,4,High-end Niche Product
1134,21851,241,556.8000000000001,4.553260869565218,34,46,2,4,High-end Niche Product
1135,21852,1,6.95,6.95,1,1,1,4,High-end Niche Product
1136,21864,1246,2528.04,2.084528301886792,166,259,5,1,Low-demand Product
1137,21865,756,1582.68,2.0960765550239238,129,207,3,1,Low-demand Product
1138,21866,1586,1977.15,1.2676333333333334,190,294,6,2,Potential Product
1139,21867,890,1111.71,1.2587264150943398,122,200,3,1,Low-demand Product
1140,21868,6925,8583.11,1.2691862068965516,377,719,6,2,Potential Product
1141,21869,921,1087.41,1.2116346153846154,82,103,2,1,Low-demand Product
1142,21870,5007,6149.88,1.237753222836096,243,539,6,2,Potential Product
1143,21871,5866,7412.22,1.2988962108731466,299,600,13,2,Potential Product
1144,21872,1829,2187.38,1.2818118466898956,169,285,8,1,Low-demand Product
1145,21873,1067,1133.41,1.2633999999999999,98,150,5,1,Low-demand Product
1146,21874,3902,4892.95,1.2770549450549449,211,455,9,2,Potential Product
1147,21875,2671,3241.83,1.2792987804878049,218,326,5,2,Potential Product
1148,21876,3479,4185.95,1.314579207920792,239,403,3,2,Potential Product
1149,21877,6127,7699.8,1.314616564417178,323,650,13,2,Potential Product
1150,21878,2978,2498.93,0.8482372881355932,225,290,7,2,Potential Product
1151,21879,1129,462.17,0.5314893617021277,81,93,7,1,Low-demand Product
1152,21880,1772,935.1400000000001,0.5811564625850341,123,146,14,1,Low-demand Product
1153,21881,784,374.94000000000005,0.5952307692307692,49,65,7,1,Low-demand Product
1154,21882,747,361.53000000000003,0.5783333333333334,61,70,7,1,Low-demand Product
1155,21883,1870,979.3000000000001,0.5967878787878788,132,165,11,1,Low-demand Product
1156,21884,824,375.70000000000005,0.5538235294117647,61,68,8,1,Low-demand Product
1157,21888,2671,9944.13,3.7844745222929936,444,626,18,2,Potential Product
1158,21889,8272,10335.16,1.2633558558558557,595,869,15,0,Mid-range Popular Product
1159,21890,2258,6744.620000000001,3.0644019138755985,335,411,15,2,Potential Product
1160,21891,6188,8114.08,1.3205822416302766,483,664,17,2,Potential Product
1161,21892,5354,6710.74,1.269983922829582,447,601,14,2,Potential Product
1162,21893,71,262.6,4.138461538461538,13,13,2,4,High-end Niche Product
1163,21894,1012,1260.21,1.2766666666666668,120,151,5,1,Low-demand Product
1164,21895,295,1163.3,4.2021428571428565,61,70,3,4,High-end Niche Product
1165,21896,1217,2510.46,2.0918340611353714,187,226,7,1,Low-demand Product
1166,21897,509,1492.9700000000003,2.9407843137254908,86,100,4,1,Low-demand Product
1167,21898,376,1119.22,2.950652173913044,73,88,3,1,Low-demand Product
1168,21899,4852,3150.1400000000003,0.6615413533834587,313,523,6,2,Potential Product
1169,21900,6325,4124.25,0.6635928143712575,361,654,5,2,Potential Product
1170,21901,5008,3253.8,0.6605387205387205,315,575,4,2,Potential Product
1171,21902,3806,2462.4,0.6598584905660378,250,408,6,2,Potential Product
1172,21903,2076,4349.7300000000005,2.154132947976879,230,346,7,2,Potential Product
1173,21904,573,1014.3000000000001,2.040839694656489,103,130,2,1,Low-demand Product
1174,21905,941,1272.76,1.6186153846153846,132,195,5,1,Low-demand Product
1175,21906,1066,7040.38,6.721629392971246,214,311,18,4,High-end Niche Product
1176,21907,4651,9674.500000000002,2.1022714285714286,381,694,15,2,Potential Product
1177,21908,5759,11833.11,2.107663782447466,382,801,16,2,Potential Product
1178,21910,512,809.6999999999999,1.637128712871287,84,101,4,1,Low-demand Product
1179,21911,1774,2894.7,1.6453307392996108,200,256,7,2,Potential Product
1180,21912,2622,9690.53,3.7850243111831445,447,615,17,2,Potential Product
1181,21913,802,2959.48,3.7739024390243903,170,204,11,1,Low-demand Product
1182,21914,9316,11727.32,1.2688526570048309,446,815,15,0,Mid-range Popular Product
1183,21915,11476,14177.15,1.2519775280898877,467,884,18,0,Mid-range Popular Product
1184,21916,6925,2899.06,0.42477231329690346,304,537,8,2,Potential Product
1185,21917,5310,2220.24,0.42301298701298695,246,381,15,2,Potential Product
1186,21918,8544,3574.0,0.4226351351351351,369,585,19,2,Potential Product
1187,21922,1247,9052.75,7.430211480362538,204,330,10,4,High-end Niche Product
1188,21923,325,2382.5,7.45925925925926,80,108,5,4,High-end Niche Product
1189,21924,304,2220.05,7.4561946902654865,82,112,4,4,High-end Niche Product
1190,21925,1139,1408.36,1.246346153846154,100,154,2,1,Low-demand Product
1191,21926,966,1197.24,1.2472058823529413,90,136,4,1,Low-demand Product
1192,21927,1169,1450.99,1.2477906976744186,93,171,4,1,Low-demand Product
1193,21928,11703,22312.54,1.9700338983050847,450,1172,12,0,Mid-range Popular Product
1194,21929,11926,22696.66,1.9750485436893204,504,1228,15,0,Mid-range Popular Product
1195,21930,8320,16080.18,1.9759742828882294,386,997,11,0,Mid-range Popular Product
1196,21931,16344,31493.53,1.9728645833333334,546,1714,17,0,Mid-range Popular Product
1197,21932,2842,5835.31,2.2228915662650603,315,494,13,2,Potential Product
1198,21933,2948,6228.26,2.252731092436975,294,469,13,2,Potential Product
1199,21934,2624,4226.4,1.6303468208092486,164,345,9,2,Potential Product
1200,21935,3750,6043.12,1.6318543046357616,234,452,16,2,Potential Product
1201,21936,5362,15252.26,2.936007604562738,396,783,20,2,Potential Product
1202,21937,2897,8265.35,2.929324055666004,286,499,13,2,Potential Product
1203,21942,518,385.67999999999995,0.81140625,41,64,4,1,Low-demand Product
1204,21943,366,296.84999999999997,0.8353658536585366,37,41,7,1,Low-demand Product
1205,21944,665,479.35999999999996,0.7793421052631578,53,75,7,1,Low-demand Product
1206,21945,741,564.38,0.8108,61,73,7,1,Low-demand Product
1207,21946,276,192.67,0.7833333333333333,25,30,6,1,Low-demand Product
1208,21947,1203,1515.84,1.3034482758620691,122,169,11,1,Low-demand Product
1209,21948,892,1120.75,1.318695652173913,71,114,6,1,Low-demand Product
1210,21949,1077,1318.6,1.2670370370370372,91,135,10,1,Low-demand Product
1211,21950,32,34.870000000000005,1.155,2,2,1,1,Low-demand Product
1212,21955,2087,13616.25,7.1095862068965525,279,576,9,2,Potential Product
1213,21967,5756,1742.82,0.30553191489361703,250,371,12,2,Potential Product
1214,21972,949,1376.05,1.45,105,133,11,1,Low-demand Product
1215,21973,1284,1826.3999999999999,1.4413043478260867,117,161,17,1,Low-demand Product
1216,21974,5404,7804.759999999999,1.465035842293907,355,557,18,2,Potential Product
1217,21975,16166,8651.390000000001,0.548360655737705,543,1133,21,0,Mid-range Popular Product
1218,21976,9319,5012.81,0.5469834710743802,404,713,22,2,Potential Product
1219,21977,25953,13892.7,0.5449906425452278,767,1578,22,0,Mid-range Popular Product
1220,21980,10276,3093.5099999999998,0.3061363636363636,406,569,17,2,Potential Product
1221,21981,6527,1958.1399999999999,0.3123425692695214,282,386,15,2,Potential Product
1222,21982,8410,2558.81,0.3159252336448598,335,521,12,2,Potential Product
1223,21983,4015,1217.1699999999998,0.3190566037735849,208,263,10,2,Potential Product
1224,21984,5462,1653.7299999999998,0.3185434173669468,256,350,13,2,Potential Product
1225,21985,12094,3673.4999999999995,0.3116064257028112,493,734,13,0,Mid-range Popular Product
1226,21986,5602,1693.1299999999999,0.31155263157894736,275,376,13,2,Potential Product
1227,21987,3410,2193.82,0.6476338028169014,209,347,15,2,Potential Product
1228,21988,3494,2856.5,0.8382681564245809,209,350,16,2,Potential Product
1229,21989,4133,3396.95,0.8409473684210526,264,468,17,2,Potential Product
1230,21990,1462,2358.7000000000003,1.805169491525424,170,233,10,1,Low-demand Product
1231,21991,736,1161.48,1.798273381294964,109,137,3,1,Low-demand Product
1232,21992,1884,3156.44,1.9305414012738855,242,308,9,2,Potential Product
1233,21993,1859,2904.1,1.8304210526315787,208,282,11,2,Potential Product
1234,22021,1194,1944.8999999999999,1.6434272300469481,161,208,6,1,Low-demand Product
1235,22023,4275,1743.27,0.4116666666666667,177,311,7,2,Potential Product
1236,22024,4057,1671.37,0.42068493150684927,170,292,11,2,Potential Product
1237,22025,2842,1168.8,0.415,148,203,11,1,Low-demand Product
1238,22026,3628,1500.54,0.41402298850574715,140,261,10,1,Low-demand Product
1239,22027,8726,3630.83,0.42012558869701727,335,636,19,2,Potential Product
1240,22028,5039,2091.07,0.42311475409836063,203,365,17,2,Potential Product
1241,22029,12290,5065.82,0.4181828703703704,429,861,19,0,Mid-range Popular Product
1242,22030,8647,3604.89,0.4184072249589491,353,601,12,2,Potential Product
1243,22031,963,409.17,0.43899999999999995,65,80,3,1,Low-demand Product
1244,22032,903,378.42,0.4183783783783783,64,74,7,1,Low-demand Product
1245,22033,1486,619.62,0.41775700934579435,80,107,6,1,Low-demand Product
1246,22034,1314,550.26,0.4192771084337349,71,83,9,1,Low-demand Product
1247,22035,3429,1424.8,0.4209016393442623,152,244,8,1,Low-demand Product
1248,22036,1486,618.72,0.41727272727272724,77,110,6,1,Low-demand Product
1249,22037,6298,2636.26,0.4201052631578947,270,474,14,2,Potential Product
1250,22038,1127,471.34,0.4182222222222222,43,45,5,1,Low-demand Product
1251,22039,754,312.68,0.41466666666666663,27,30,3,1,Low-demand Product
1252,22040,2350,978.84,0.41659574468085103,82,94,6,1,Low-demand Product
1253,22041,4010,9127.17,2.454953560371517,101,319,5,2,Potential Product
1254,22042,1496,548.97,0.38680412371134015,89,96,8,1,Low-demand Product
1255,22043,1800,499.77000000000004,0.3006451612903226,86,92,7,1,Low-demand Product
1256,22044,1567,458.04,0.3144705882352941,80,85,5,1,Low-demand Product
1257,22045,11776,4932.04,0.41889125799573557,290,469,18,2,Potential Product
1258,22046,5215,2181.66,0.4184541062801932,147,207,16,2,Potential Product
1259,22047,6532,2729.02,0.4179230769230769,211,260,7,2,Potential Product
1260,22048,2548,1068.0,0.4192156862745098,93,102,9,1,Low-demand Product
1261,22049,2857,838.84,0.2938053097345133,95,112,6,1,Low-demand Product
1262,22050,2885,1207.38,0.4186086956521739,100,115,12,1,Low-demand Product
1263,22051,2910,1220.04,0.4193103448275862,95,116,10,1,Low-demand Product
1264,22052,3108,1299.2,0.4180645161290322,105,124,10,1,Low-demand Product
1265,22053,533,649.51,1.2406060606060605,61,66,4,1,Low-demand Product
1266,22054,316,512.8,1.6427272727272726,45,51,4,1,Low-demand Product
1267,22055,3719,5615.179999999999,1.5764599999999998,252,476,13,2,Potential Product
1268,22056,215,280.39,1.4308,23,25,3,1,Low-demand Product
1269,22057,1734,2268.06,1.3855491329479768,113,173,7,1,Low-demand Product
1270,22058,500,745.0,1.49,71,92,3,1,Low-demand Product
1271,22059,3510,4653.62,1.4087500000000002,183,365,13,2,Potential Product
1272,22060,600,3791.43,6.836917808219178,112,143,8,4,High-end Niche Product
1273,22061,1678,11757.32,7.332274774774775,219,443,13,2,Potential Product
1274,22062,647,957.48,1.8989000000000003,69,94,5,1,Low-demand Product
1275,22063,1588,4150.6,2.8487265917602995,142,258,11,1,Low-demand Product
1276,22064,4624,7199.699999999999,1.6310975609756098,213,479,16,2,Potential Product
1277,22065,4096,3562.97,1.022893982808023,249,335,10,2,Potential Product
1278,22066,2376,2038.8,1.014846153846154,185,254,9,2,Potential Product
1279,22067,1441,2256.87,1.5999999999999999,108,180,10,1,Low-demand Product
1280,22068,847,1232.85,1.5422651933701657,111,179,4,1,Low-demand Product
1281,22069,597,879.0899999999999,1.5464835164835165,66,89,5,1,Low-demand Product
1282,22070,1398,4934.2,3.7918637992831545,217,275,16,2,Potential Product
1283,22071,1106,3778.61,3.707958333333333,200,236,15,2,Potential Product
1284,22072,1988,6899.88,3.6425961538461538,200,402,8,2,Potential Product
1285,22073,1877,6829.2300000000005,3.7191152815013404,227,360,16,2,Potential Product
1286,22074,1444,1555.9399999999998,1.391153846153846,127,152,8,1,Low-demand Product
1287,22075,2057,3076.49,1.5908429118773946,201,256,7,2,Potential Product
1288,22076,1964,2836.0799999999995,1.5393032786885246,197,241,10,2,Potential Product
1289,22077,13623,23272.19,1.7178992805755398,685,1361,21,0,Mid-range Popular Product
1290,22078,2762,5743.7,2.0942602040816327,246,385,12,2,Potential Product
1291,22079,3960,6520.44,1.6680291970802918,397,542,11,2,Potential Product
1292,22080,3254,5345.5,1.6477426636568848,336,438,13,2,Potential Product
1293,22081,1449,2401.97,1.6873831775700934,170,212,9,1,Low-demand Product
1294,22082,5971,9837.63,1.6613126491646777,512,819,12,2,Potential Product
1295,22083,8963,25331.11,2.9235582255083177,589,1075,17,0,Mid-range Popular Product
1296,22084,6035,17003.15,2.906381486676017,464,704,7,0,Mid-range Popular Product
1297,22085,1206,3421.3500000000004,2.923834196891192,141,192,10,1,Low-demand Product
1298,22086,16218,45787.29,2.9196085204375364,896,1691,12,0,Mid-range Popular Product
1299,22087,6137,17182.100000000002,2.891445427728614,314,663,13,2,Potential Product
1300,22088,3346,9421.0,2.904020618556701,266,478,15,2,Potential Product
1301,22089,2608,7373.14,2.9215313225058006,290,422,10,2,Potential Product
1302,22090,10750,30214.890000000003,2.9085144644253327,631,1266,20,0,Mid-range Popular Product
1303,22091,2124,1634.0800000000002,0.8621074380165289,184,242,7,1,Low-demand Product
1304,22092,768,494.59000000000003,0.7463157894736843,105,133,7,1,Low-demand Product
1305,22093,1658,1084.1100000000001,0.7906799999999999,179,247,9,1,Low-demand Product
1306,22094,2055,1397.31,0.7941276595744681,181,232,13,1,Low-demand Product
1307,22095,1395,1213.89,0.8948979591836735,125,188,2,1,Low-demand Product
1308,22096,908,592.16,0.7545833333333333,129,163,7,1,Low-demand Product
1309,22097,1229,871.37,0.7829680365296804,158,211,10,1,Low-demand Product
1310,22098,1799,1318.53,0.8666666666666667,161,231,11,1,Low-demand Product
1311,22099,1461,1096.43,0.8650224215246637,168,214,11,1,Low-demand Product
1312,22100,610,444.3,0.9668292682926829,71,81,6,1,Low-demand Product
1313,22101,440,710.1600000000001,1.9416,44,49,2,1,Low-demand Product
1314,22102,334,461.4599999999999,1.5690243902439025,35,41,3,1,Low-demand Product
1315,22103,497,708.81,1.5675999999999999,43,50,4,1,Low-demand Product
1316,22104,390,424.04999999999995,1.3195121951219513,31,41,1,1,Low-demand Product
1317,22105,187,532.55,3.875925925925926,23,26,4,1,Low-demand Product
1318,22106,241,939.35,5.800000000000001,29,36,3,4,High-end Niche Product
1319,22107,810,2852.21,3.6592063492063494,118,185,9,1,Low-demand Product
1320,22108,197,537.89,3.1455102040816327,34,49,4,1,Low-demand Product
1321,22109,2434,8800.02,3.754683544303797,205,389,10,2,Potential Product
1322,22110,1488,3661.16,2.6974850299401196,217,323,9,2,Potential Product
1323,22111,7717,36214.5,4.893550577053632,717,1457,16,0,Mid-range Popular Product
1324,22112,8812,40957.05,4.87609439124487,631,1447,15,0,Mid-range Popular Product
1325,22113,5063,19071.59,3.870615711252654,488,913,12,0,Mid-range Popular Product
1326,22114,7871,30485.25,4.0199006875477465,626,1298,18,0,Mid-range Popular Product
1327,22115,2119,3768.2000000000003,2.1777903682719546,244,350,7,2,Potential Product
1328,22116,645,821.85,1.6835433070866141,96,127,4,1,Low-demand Product
1329,22117,767,2052.2000000000003,2.881377551020408,142,196,10,1,Low-demand Product
1330,22118,612,2673.9500000000003,4.713911290322581,195,243,5,4,High-end Niche Product
1331,22119,882,5396.2,6.657121661721069,244,330,7,4,High-end Niche Product
1332,22120,967,7252.5,7.5,196,316,10,4,High-end Niche Product
1333,22121,1238,7215.7300000000005,5.918931297709923,303,387,6,2,Potential Product
1334,22122,867,2546.8500000000004,2.9475155279503107,113,156,6,1,Low-demand Product
1335,22123,548,1216.4,2.7963043478260867,77,91,5,1,Low-demand Product
1336,22124,179,422.97,2.54974358974359,29,39,3,1,Low-demand Product
1337,22125,604,3494.8,5.925460122699387,117,157,4,4,High-end Niche Product
1338,22127,1969,2420.21,1.2398666666666667,128,146,12,1,Low-demand Product
1339,22128,2538,3126.9,1.240904255319149,143,186,15,1,Low-demand Product
1340,22129,1642,1377.3799999999999,0.8842056074766355,97,106,12,1,Low-demand Product
1341,22130,5480,4626.799999999999,0.8468032786885246,298,358,14,2,Potential Product
1342,22131,2688,5083.719999999999,1.973579766536965,276,496,12,2,Potential Product
1343,22132,2439,2055.99,0.85,154,238,14,1,Low-demand Product
1344,22133,1745,1474.28,0.8568023255813954,109,171,12,1,Low-demand Product
1345,22134,1147,480.18,0.4374803149606299,80,126,9,1,Low-demand Product
1346,22135,886,373.8,0.4387378640776699,58,103,5,1,Low-demand Product
1347,22136,1459,2374.95,1.643877551020408,117,191,8,1,Low-demand Product
1348,22137,178,496.6,2.9145161290322585,24,31,5,1,Low-demand Product
1349,22138,7753,37134.19,4.931129492298917,1137,1742,29,0,Mid-range Popular Product
1350,22139,9037,43042.020000000004,4.925194805194805,941,1838,26,0,Mid-range Popular Product
1351,22141,2577,5353.4800000000005,2.135022522522523,313,434,12,2,Potential Product
1352,22142,3420,4886.639999999999,1.4797511312217193,336,430,11,2,Potential Product
1353,22143,282,578.7,2.090740740740741,51,53,2,1,Low-demand Product
1354,22144,3582,7479.750000000001,2.135970695970696,392,535,13,2,Potential Product
1355,22145,1099,2267.4,2.091329479768786,153,169,10,1,Low-demand Product
1356,22146,774,1404.0,1.9113861386138613,93,99,5,1,Low-demand Product
1357,22147,8879,12567.06,1.4482816901408448,582,1026,14,0,Mid-range Popular Product
1358,22148,2228,4166.4,1.9234939759036145,209,243,13,2,Potential Product
1359,22149,8307,17049.83,2.0936026380873867,684,1189,18,0,Mid-range Popular Product
1360,22150,5131,9672.47,1.9468867924528301,505,829,12,2,Potential Product
1361,22151,12797,5356.47,0.42383458646616534,361,645,12,2,Potential Product
1362,22152,3786,1589.69,0.424273127753304,154,219,6,1,Low-demand Product
1363,22153,2995,1254.66,0.41940298507462687,136,191,5,1,Low-demand Product
1364,22154,3576,1498.68,0.41949790794979075,163,227,5,1,Low-demand Product
1365,22155,3215,1350.3,0.42,165,221,4,1,Low-demand Product
1366,22156,4630,3922.89,0.8554800936768149,259,414,5,2,Potential Product
1367,22157,1503,1277.55,0.85,88,112,3,1,Low-demand Product
1368,22158,5459,15882.210000000001,2.9539024390243904,374,646,7,2,Potential Product
1369,22161,3706,1112.67,0.3471848739495798,156,219,9,1,Low-demand Product
1370,22162,800,2343.3,2.92589928057554,92,133,4,1,Low-demand Product
1371,22163,940,1552.6000000000001,2.2167889908256884,86,104,7,1,Low-demand Product
1372,22164,282,786.0000000000001,2.9095238095238094,40,42,4,1,Low-demand Product
1373,22165,507,2792.07,6.8840625,82,127,2,4,High-end Niche Product
1374,22166,165,924.27,7.024634146341463,31,41,1,4,High-end Niche Product
1375,22167,458,2863.05,7.222916666666667,92,167,3,4,High-end Niche Product
1376,22168,601,4500.0,7.475409836065574,250,305,10,4,High-end Niche Product
1377,22169,2017,15047.52,7.493473684210526,276,570,11,2,Potential Product
1378,22170,2204,14156.18,6.651941176470589,279,510,9,2,Potential Product
1379,22171,1913,13768.92,7.460275735294117,269,544,10,2,Potential Product
1380,22172,339,2542.5,7.5,124,156,7,4,High-end Niche Product
1381,22173,4007,11637.19,2.988861111111111,383,714,12,2,Potential Product
1382,22174,2599,4249.94,1.6889354838709676,178,303,9,2,Potential Product
1383,22175,1408,4036.4200000000005,2.9354362416107387,161,296,11,2,Potential Product
1384,22176,991,2876.2500000000005,2.940867579908676,125,217,11,1,Low-demand Product
1385,22177,219,1620.36,7.491960784313725,90,102,4,4,High-end Niche Product
1386,22178,20423,26967.96,1.3451874573960465,593,1442,16,0,Mid-range Popular Product
1387,22179,1688,10900.35,6.698391089108911,201,401,11,2,Potential Product
1388,22180,914,6855.0,7.5,226,358,13,4,High-end Niche Product
1389,22181,1098,922.77,0.8463207547169811,85,104,10,1,Low-demand Product
1390,22182,359,1229.05,4.503846153846154,58,65,5,4,High-end Niche Product
1391,22183,282,1438.05,6.283333333333334,58,63,3,4,High-end Niche Product
1392,22184,263,1479.05,6.8,60,71,6,4,High-end Niche Product
1393,22185,3387,5274.049999999999,1.6200263852242744,298,375,5,2,Potential Product
1394,22186,1727,4394.89,2.6754736842105262,234,284,8,2,Potential Product
1395,22187,1859,5554.05,3.3732876712328768,230,290,7,2,Potential Product
1396,22188,2763,9507.52,3.836639344262295,292,487,7,2,Potential Product
1397,22189,6947,25420.43,3.876772486772487,536,1129,12,0,Mid-range Popular Product
1398,22190,882,1479.93,1.95896,88,124,4,1,Low-demand Product
1399,22191,1513,11347.5,7.5,335,592,13,2,Potential Product
1400,22192,1364,10226.5,7.4931640625,260,511,14,2,Potential Product
1401,22193,1712,12840.0,7.5,265,555,16,2,Potential Product
1402,22194,344,2580.0,7.5,100,142,9,4,High-end Niche Product
1403,22195,3968,6560.719999999999,1.6825423728813558,325,520,16,2,Potential Product
1404,22196,4838,4124.91,0.8579727427597955,304,565,14,2,Potential Product
1405,22197,24812,20394.18,0.8383333333333334,601,1752,17,0,Mid-range Popular Product
1406,22198,5025,8123.249999999999,1.6367494824016562,240,478,13,2,Potential Product
1407,22199,1166,4510.78,4.066204379562044,158,273,15,2,Potential Product
1408,22200,1014,4050.75,4.108225108225108,120,230,9,4,High-end Niche Product
1409,22201,294,1143.0,4.070754716981132,76,106,9,4,High-end Niche Product
1410,22202,775,2799.24,3.7012025316455692,91,157,8,1,Low-demand Product
1411,22203,960,3396.19,3.677158671586716,166,270,14,1,Low-demand Product
1412,22204,296,1042.78,3.6187755102040815,66,97,10,1,Low-demand Product
1413,22207,1977,7948.0,4.263888888888889,189,324,7,2,Potential Product
1414,22208,1968,2384.81,1.2248902821316614,237,311,8,2,Potential Product
1415,22209,1230,1497.4299999999998,1.2383589743589742,159,193,7,1,Low-demand Product
1416,22210,1291,1540.4199999999998,1.2158547008547007,179,226,10,1,Low-demand Product
1417,22211,1239,1560.1799999999998,1.2276442307692308,161,202,7,1,Low-demand Product
1418,22212,3238,6720.39,2.1001777059773827,323,608,15,2,Potential Product
1419,22214,399,937.0,2.4563461538461535,43,52,7,1,Low-demand Product
1420,22215,1029,7308.0,7.2575235109717875,245,319,17,4,High-end Niche Product
1421,22216,790,577.0899999999999,0.8,48,57,4,1,Low-demand Product
1422,22217,1709,1889.85,1.150632183908046,152,172,4,1,Low-demand Product
1423,22218,983,3911.75,4.169836956521739,143,184,15,4,High-end Niche Product
1424,22219,7003,5923.04,0.8538286479250334,384,726,13,2,Potential Product
1425,22220,702,4878.25,7.201639344262295,190,244,11,4,High-end Niche Product
1426,22221,437,2988.15,7.302877697841727,108,138,12,4,High-end Niche Product
1427,22222,1174,4321.2,4.6180134680134675,203,297,15,2,Potential Product
1428,22223,559,2060.25,4.627952755905512,89,125,10,4,High-end Niche Product
1429,22224,1965,5659.950000000001,2.9200325732899026,234,304,9,2,Potential Product
1430,22227,4907,3181.4500000000003,0.6559850374064838,195,381,4,2,Potential Product
1431,22228,1438,1105.9199999999998,0.7698876404494381,148,175,5,1,Low-demand Product
1432,22229,851,636.87,0.752542372881356,101,114,6,1,Low-demand Product
1433,22230,972,616.76,0.6944444444444444,96,123,9,1,Low-demand Product
1434,22231,1735,2102.23,1.1977678571428572,166,220,14,1,Low-demand Product
1435,22232,947,1062.1299999999999,1.2484210526315789,96,114,13,1,Low-demand Product
1436,22233,860,1064.9599999999998,1.2667692307692306,112,127,8,1,Low-demand Product
1437,22236,1074,8055.0,7.5,251,391,16,4,High-end Niche Product
1438,22241,3002,3722.26,1.2466961651917403,242,335,4,2,Potential Product
1439,22242,3030,4889.7,1.6357142857142857,186,305,17,2,Potential Product
1440,22243,3175,5098.95,1.6335365853658534,181,321,16,2,Potential Product
1441,22244,2806,5307.9,1.925531914893617,169,281,17,2,Potential Product
1442,22245,3220,2696.8599999999997,0.8435611510791367,166,273,17,2,Potential Product
1443,22246,790,1537.3799999999999,2.0266037735849056,84,105,4,1,Low-demand Product
1444,22247,865,715.75,0.8402803738317757,86,102,3,1,Low-demand Product
1445,22248,747,627.28,0.8457142857142856,77,85,4,1,Low-demand Product
1446,22249,1255,1050.76,0.8438095238095238,126,142,4,1,Low-demand Product
1447,22250,886,737.76,0.8432173913043478,98,109,3,1,Low-demand Product
